"id"	"annee"	"agemoy"	"etp"	"prod"	"cap"	"nace"	"sect"
1444	2006	42.134228188	151	7476	3718	14130	"M"
1445	2006	41.657894737	32	1261	20	25110	"M"
1446	2006	43.310344828	29	768	63	13929	"M"
1447	2006	36.846153846	40	2740	1023	16240	"M"
1448	2006	40.147058824	42	3444	92	17290	"M"
1449	2006	46.391304348	22	753	62	14120	"M"
1450	2006	35.333333333	47	4110	124	18120	"M"
1451	2006	40.266666667	32	1514	828	23700	"M"
1452	2006	40.081632653	49	5020	73099	24340	"M"
1453	2006	41.875	24	2068	125	23610	"M"
1454	2006	36.45	22	1620	400	25999	"M"
1455	2006	36.450980392	60	2931	63	22190	"M"
1456	2006	36.290540541	158	14298	7115	24310	"M"
1457	2006	40.948717949	38	1572	297	17290	"M"
1458	2006	38.051282051	38	1893	450	28130	"M"
1459	2006	42.21875	33	1611	209	27402	"M"
1460	2006	40.205882353	33	1612	125	28299	"M"
1461	2006	42.148148148	28	590	110	16210	"M"
1462	2006	38.4	20	820	31	13921	"M"
1463	2006	35.472222222	44	2210	62	10712	"M"
1464	2006	35.24	25	1094	543	16290	"M"
1465	2006	33.694444444	37	2125	25	10820	"M"
1466	2006	43.847826087	100	4629	1200	13960	"M"
1467	2006	36.925925926	26	1810	350	26110	"M"
1468	2006	37.246575342	127	9166	1500	24100	"M"
1469	2006	40.903846154	49	2847	1510	31000	"M"
1470	2006	40.635135135	68	4080	6000	25620	"M"
1471	2006	37.032258065	33	1698	102	28250	"M"
1472	2006	36.869565217	23	1332	62	23700	"M"
1473	2006	40.141791045	132	16357	12500	25610	"M"
1474	2006	36	20	1350	248	14130	"M"
1475	2006	35.987654321	75	5685	140	28291	"M"
1476	2006	38.719512195	78	4506	405	20160	"M"
1477	2006	35.5	23	1857	2000	18120	"M"
1478	2006	39.926829268	41	2366	112	18120	"M"
1479	2006	33.5	83	5593	1496	22290	"M"
1480	2006	42.44	27	2106	465	10110	"M"
1481	2006	37.761538462	134	6293	124	25300	"M"
1482	2006	46.576923077	25	1580	1737	18120	"M"
1483	2006	41.606060606	65	5592	8972	10510	"M"
1484	2006	35.212121212	31	1493	347	31091	"M"
1485	2006	36.896551724	44	2026	62	10712	"M"
1486	2006	37.605263158	119	12308	4961	26110	"M"
1487	2006	39.157894737	90	6086	3347	10310	"M"
1488	2006	41.838709677	28	1949	124	18120	"M"
1489	2006	35.413793103	25	1112	151	28250	"M"
1490	2006	37.961538462	24	1237	93	25620	"M"
1491	2006	33.264367816	79	8271	62	25999	"M"
1492	2006	38.590909091	40	2209	226	21100	"M"
1493	2006	34.655172414	62	4980	250	25120	"M"
1494	2006	41.045454545	158	5710	5454	10520	"M"
1495	2006	39.763736264	146	6671	521	10520	"M"
1496	2006	37.152173913	87	5274	620	10820	"M"
1497	2006	32.743589744	40	2387	100	25620	"M"
1498	2006	36.178294574	124	12915	1185	22210	"M"
1499	2006	43.789719626	219	15337	3069	24530	"M"
1500	2006	38.260869565	26	580	372	31010	"M"
1501	2006	42.25	58	4084	55	22220	"M"
1502	2006	37.895833333	47	2701	62	18120	"M"
1503	2006	37	23	1042	156	30910	"M"
1504	2006	39.107843137	112	7615	751	16210	"M"
1505	2006	35.939393939	32	2056	552	10120	"M"
1506	2006	40.4	23	1348	403	20600	"M"
1507	2006	39.586206897	54	3314	1035	13100	"M"
1508	2006	40.666666667	58	2856	777	13100	"M"
1509	2006	36.869565217	23	1833	372	10820	"M"
1510	2006	39.321428571	32	5997	2405	23610	"M"
1511	2006	39	48	2992	394	22210	"M"
1512	2006	34.342105263	34	3591	146000	13300	"M"
1513	2006	43.5625	33	2542	2000	23700	"M"
1514	2006	36.308300395	255	19910	3967	17120	"M"
1515	2006	36.596153846	91	15850	2876	24100	"M"
1516	2006	37.4	29	3276	1000	10920	"M"
1517	2006	40.909090909	37	1627	1612	10110	"M"
1518	2006	39.428571429	45	2804	375	23990	"M"
1519	2006	34.186046512	39	2136	174	25940	"M"
1520	2006	49.784946237	350	13303	36720	13200	"M"
1521	2006	42.541666667	114	67752	247000	20110	"M"
1522	2006	36.498789346	428	82098	272313	14130	"M"
1523	2006	37.085714286	36	1566	149	24100	"M"
1524	2006	43.967871486	224	15896	9400	23300	"M"
1525	2006	40.666666667	24	934	250	10200	"M"
1526	2006	33.935483871	30	1657	248	25110	"M"
1527	2006	41.4375	80	3691	1200	29200	"M"
1528	2006	37.453703704	103	5700	1239	18120	"M"
1529	2006	44.451612903	32	1526	1500	25120	"M"
1530	2006	36.76	97	7400	1240	20300	"M"
1531	2006	35.189189189	39	3609	250	25620	"M"
1532	2006	36.15	44	1103	31	23630	"M"
1533	2006	42.69928401	390	40620	23550	10900	"M"
1534	2006	38.795275591	124	16190	128561	10620	"M"
1535	2006	38.624472574	296	15688	13760	13100	"M"
1536	2006	38.44966443	150	12460	1984	10890	"M"
1537	2006	39.039215686	355	22458	3202	27402	"M"
1538	2006	40.914893617	49	4192	500	24100	"M"
1539	2006	37.940677966	116	13242	5000	20140	"M"
1540	2006	38.957446809	47	4128	248	25610	"M"
1541	2006	40.08	25	1177	74	25110	"M"
1542	2006	37.387096774	36	6056	3000	10312	"M"
1543	2006	45.054054054	34	7050	27850	11060	"M"
1544	2006	43.11627907	42	2151	1490	25110	"M"
1545	2006	31.790697674	38	1607	1900	26200	"M"
1546	2006	37.515213816	2392	279722	296901	11070	"M"
1547	2006	36.333333333	30	1904	500	23700	"M"
1548	2006	41.090909091	196	36043	45000	20300	"M"
1549	2006	34.045454545	39	2804	615	16100	"M"
1550	2006	40.166666667	34	9785	700	10393	"M"
1551	2006	40.8	36	5996	248	20600	"M"
1552	2006	38.628571429	33	965	99	31010	"M"
1553	2006	41.534883721	42	2899	150	31020	"M"
1554	2006	44.234042553	42	1996	248	14130	"M"
1555	2006	33.456521739	416	21731	459	25120	"M"
1556	2006	36.105263158	205	16923	797	23610	"M"
1557	2006	41	34	1567	578	31091	"M"
1558	2006	38.913294798	168	14099	1630	20300	"M"
1559	2006	41.952380952	42	1614	620	10820	"M"
1560	2006	40.382352941	34	1671	124	25502	"M"
1561	2006	39.55	39	2955	140	20140	"M"
1562	2006	43.404040404	88	7880	4958	25110	"M"
1563	2006	45.014492754	64	3217	284	18120	"M"
1564	2006	43.333333333	42	4100	1688	10393	"M"
1565	2006	42.391304348	22	867	62	13910	"M"
1566	2006	35.204081633	51	2704	368	18130	"M"
1567	2006	45.302325581	40	1783	62	10712	"M"
1568	2006	41.5	44	4523	2500	10110	"M"
1569	2006	38.022727273	42	1946	62	31091	"M"
1570	2006	41.035087719	54	1822	100	31091	"M"
1571	2006	39.596491228	54	2729	500	31000	"M"
1572	2006	37.64	25	1038	19	32500	"M"
1573	2006	40.3	52	2896	125	13930	"M"
1574	2006	40.646153846	72	10219	1859	26300	"M"
1575	2006	44.05625	83	2601	12318	29300	"M"
1576	2006	35.096774194	26	1759	500	29200	"M"
1577	2006	50.21875	32	1917	1000	23610	"M"
1578	2006	40.206896552	91	4032	744	10110	"M"
1579	2006	38.578947368	51	1602	8677	25620	"M"
1580	2006	39.972222222	33	1811	75	25620	"M"
1581	2006	32.747928994	889	83916	2000	28220	"M"
1582	2006	35.578947368	215	18744	2320	20160	"M"
1583	2006	36.6375	75	10954	651	26510	"M"
1584	2006	36.428571429	39	1845	248	16230	"M"
1585	2006	42.806451613	29	2550	600	20300	"M"
1586	2006	45.4375	26	1767	62	25610	"M"
1587	2006	41.483315393	3782	184320	78059	25110	"M"
1588	2006	35.833333333	32	1579	868	31091	"M"
1589	2006	37.714285714	42	3339	300	18120	"M"
1590	2006	34.377777778	59	3190	1110	10711	"M"
1591	2006	44.720930233	44	2127	462	25290	"M"
1592	2006	35.741935484	97	22433	380	12000	"M"
1593	2006	38.791666667	51	2607	150	16210	"M"
1594	2006	38.444444444	57	3281	671	28490	"M"
1595	2006	35.027777778	33	1671	1001	10510	"M"
1596	2006	40.461538462	37	1836	31	25999	"M"
1597	2006	36.155555556	40	1497	232	10712	"M"
1598	2006	37.14893617	46	4188	700	10910	"M"
1599	2006	34.666666667	65	3421	745	28293	"M"
1600	2006	44.518518519	32	1468	496	25300	"M"
1601	2006	36.548387097	64	4925	7223	26510	"M"
1602	2006	37.417322835	132	8119	1890	10720	"M"
1603	2006	35.944444444	41	3160	19	18120	"M"
1604	2006	39.5	24	1046	496	28200	"M"
1605	2006	34.875	29	1394	223	25610	"M"
1606	2006	42.705882353	21	1071	212	16100	"M"
1607	2006	31.65	38	2612	31	18120	"M"
1608	2006	38.24	61	2022	335	28300	"M"
1609	2006	37.48	21	1271	31	23700	"M"
1610	2006	36.243243243	73	3714	250	25620	"M"
1611	2006	42.523809524	21	1484	527	26200	"M"
1612	2006	38.764705882	29	2632	380	21209	"M"
1613	2006	39.37037037	354	40464	11300	27402	"M"
1614	2006	44.405172414	112	13584	62	25610	"M"
1615	2006	37.313084112	203	12755	610	10830	"M"
1616	2006	44.285714286	25	1935	744	20600	"M"
1617	2006	39	61	3477	65	13200	"M"
1618	2006	41.771428571	37	1406	235	25120	"M"
1619	2006	46.866666667	77	5795	2784	25940	"M"
